player_id,first_name,last_name,team name,oppenent team name,total points predicted
105,Vitaly,Janelt,Brentford,Liverpool,1.643
106,Mathias,Jensen,Brentford,Liverpool,1.748
107,Keane,Lewis-Potter,Brentford,Liverpool,0.428
108,Bryan,Mbeumo,Brentford,Liverpool,2.449
109,Ben,Mee,Brentford,Liverpool,0.395
110,Christian,Nørgaard,Brentford,Liverpool,1.809
111,Frank,Onyeka,Brentford,Liverpool,1.374
112,Ethan,Pinnock,Brentford,Liverpool,0.991
113,David,Raya Martin,Arsenal,Burnley,2.208
114,Mads,Roerslev Rasmussen,Brentford,Liverpool,1.357
115,Kevin,Schade,Brentford,Liverpool,0.389
116,Thomas,Strakosha,Brentford,Liverpool,0.547
117,Ivan,Toney,Brentford,Liverpool,0.28
118,Ryan,Trevitt,Brentford,Liverpool,0.389
119,Yoane,Wissa,Brentford,Liverpool,2.001
120,Yegor,Yarmolyuk,Brentford,Liverpool,1.065
121,Mathias,Jorgensen,Brentford,Liverpool,0.427
122,Simon,Adingra,Brighton,Sheffield Utd,1.805
123,Steven,Alzate,Brighton,Sheffield Utd,0.635
124,Yasin,Ayari,Brighton,Sheffield Utd,0.635
125,Facundo,Buonanotte,Brighton,Sheffield Utd,0.898
126,Moisés,Caicedo Corozo,Chelsea,Man City,1.309
127,Aaron,Connolly,Brighton,Sheffield Utd,0.579
128,Mahmoud,Dahoud,Brighton,Sheffield Utd,0.904
129,Lewis,Dunk,Brighton,Sheffield Utd,2.099
130,Julio,Enciso,Brighton,Sheffield Utd,0.635
131,Pervis,Estupiñán,Brighton,Sheffield Utd,1.133
132,Evan,Ferguson,Brighton,Sheffield Utd,1.873
133,Billy,Gilmour,Brighton,Sheffield Utd,1.529
134,Pascal,Groß,Brighton,Sheffield Utd,1.632
135,João Pedro,Junqueira de Jesus,Brighton,Sheffield Utd,2.615
136,Michał,Karbownik,Brighton,Sheffield Utd,1.441
137,Kacper,Kozłowski,Brighton,Sheffield Utd,0.635
138,Adam,Lallana,Brighton,Sheffield Utd,0.928
139,Tariq,Lamptey,Brighton,Sheffield Utd,1.182
140,Solly,March,Brighton,Sheffield Utd,1.137
141,Tom,McGill,Brighton,Sheffield Utd,0.506
142,James,Milner,Brighton,Sheffield Utd,0.82
143,Kaoru,Mitoma,Brighton,Sheffield Utd,2.288
144,Jakub,Moder,Brighton,Sheffield Utd,0.635
145,Robert,Sánchez,Chelsea,Man City,1.646
146,Jeremy,Sarmiento Morante,Brighton,Sheffield Utd,0.635
147,Kjell,Scherpen,Brighton,Sheffield Utd,0.506
148,Jason,Steele,Brighton,Sheffield Utd,1.389
149,Deniz,Undav,Brighton,Sheffield Utd,0.579
150,Jan Paul,van Hecke,Brighton,Sheffield Utd,0.535
151,Joël,Veltman,Brighton,Sheffield Utd,1.337
152,Bart,Verbruggen,Brighton,Sheffield Utd,1.175
153,Adam,Webster,Brighton,Sheffield Utd,1.046
154,Danny,Welbeck,Brighton,Sheffield Utd,1.06
155,Andi,Zeqiri,Brighton,Sheffield Utd,0.579
156,Enock,Agyei,Burnley,Arsenal,0.389
157,Ameen,Al-Dakhil,Burnley,Arsenal,0.859
158,Samuel,Bastien,Burnley,Arsenal,0.389
