gameWeek,minutes_played_last5,clean_sheets_last5,bps_last5,player_starts_last5,expected_goals_last5,expected_assists_last5,expected_goal_involvements_last5,expected_goals_conceded_last5,total_points_last5,difficulty,is_home_team,player_type_1,player_type_2,player_type_3,player_type_4
8,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,1,0,0,1,0
3,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,1,0,0,1,0
9,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,5,0,0,0,0,1
11,4.032469158504013,0.1823215567939546,3.0252910757955354,0.47000362924573563,0.36046774217742855,0.09349034308733897,0.4265740713183996,0.5364933705145685,1.9459101490553132,2,0,0,0,0,1
9,3.091042453358316,0.0,2.0794415416798357,0.1823215567939546,0.0,0.0,0.0,0.48980625654191534,0.8754687373538999,3,1,0,1,0,0
6,4.48863636973214,0.3364722366212129,2.667228206581955,0.6931471805599453,0.243730184922598,0.23269776411902143,0.4304828710834521,0.7246458476193163,1.2809338454620642,3,1,0,0,1,0
10,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,0,0,0,1,0
4,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,0,0,1,0,0
2,4.499809670330265,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.5596157879354227,1.0986122886681098,2,1,0,0,1,0
3,4.51085950651685,0.0,2.5649493574615367,0.6931471805599453,0.2151113796169455,0.06297479916138839,0.2662030407746567,1.1233049012584813,1.3862943611198906,3,1,0,0,1,0
6,0.1823215567939546,0.0,1.4816045409242156,0.0,0.0,0.0,0.0,0.071389996086673,0.7884573603642703,3,0,0,1,0,0
8,2.975529566236472,0.0,1.8562979903656263,0.1823215567939546,0.0,0.02176149178151271,0.02176149178151271,0.5031965966014995,0.9555114450274363,4,1,0,0,1,0
4,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,0,1,0,0
4,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,0,0,1
8,4.087655574071304,0.1823215567939546,1.8870696490323797,0.5877866649021191,0.18730909830499368,0.1292723357041391,0.2956502421009577,0.5855619698800079,1.33500106673234,3,0,0,0,1,0
7,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,0,1,0,0,0
7,3.903990833730882,0.3364722366212129,2.653241964607215,0.3364722366212129,0.01980262729617973,0.04688358589885046,0.06578774053800315,0.3947411447451887,1.4816045409242156,2,1,0,0,1,0
4,3.9951379121386528,0.0,1.9459101490553132,0.5108256237659906,0.0,0.009950330853168092,0.009950330853168092,0.956792675183485,1.0986122886681098,2,1,0,1,0,0
9,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,0,1,0
9,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,0,0,1,0,0
9,3.9473901492654373,0.1823215567939546,2.2617630984737906,0.5877866649021191,0.02176149178151271,0.013902905168991434,0.035367143837291344,0.8276780735175514,1.0296194171811581,2,1,0,0,1,0
6,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,1,0,0,1,0
3,3.332204510175204,0.0,2.0794415416798357,0.0,0.0,0.009950330853168092,0.009950330853168092,0.7371640659767196,1.0986122886681098,4,0,0,0,1,0
2,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,0,0,0,1,0
6,2.5952547069568657,0.1823215567939546,1.6094379124341003,0.1823215567939546,0.0620353909194527,0.0,0.0620353909194527,0.1275133202989597,0.9555114450274363,3,0,0,0,1,0
10,4.406719247264253,0.1823215567939546,2.533696813957432,0.6931471805599453,0.2730759200624188,0.052592450119170416,0.31334981920035865,0.7523590401917913,1.4350845252893227,5,1,0,0,1,0
8,4.51085950651685,0.1823215567939546,3.1780538303479458,0.6931471805599453,0.03729578474369693,0.04688358589885046,0.08250122151174377,0.7902738912906679,1.6094379124341003,2,0,0,1,0,0
11,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,0,0,0,0,1
3,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,0,0,1
3,4.51085950651685,0.0,2.803360380906535,0.6931471805599453,0.0,0.004987541511038968,0.004987541511038968,0.914288729203482,1.3862943611198906,4,1,0,1,0,0
7,2.70805020110221,0.0,2.4336133554004498,0.0,0.2515366258154277,0.05638033343610769,0.2956502421009577,0.3811724155391198,1.4350845252893227,4,1,0,0,1,0
4,3.2708355637989115,0.0,2.03688192726104,0.0,0.0,0.02306527293099597,0.02306527293099597,0.4824261492442928,1.0986122886681098,4,0,0,0,1,0
3,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,1,1,0,0,0
2,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,0,0,0,0,1
6,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,0,1,0
8,1.824549292051046,0.0,1.3862943611198906,0.0,0.011928570865273812,0.005982071677547469,0.017839918128331016,0.10795714150509217,0.7884573603642703,2,1,0,0,0,1
11,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,1,0,0,1,0
11,3.202746442938317,0.0,1.7227665977411035,0.1823215567939546,0.005982071677547469,0.007968169649176881,0.013902905168991434,0.4343764516025845,1.0296194171811581,2,1,0,0,0,1
2,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,0,0,1,0
5,4.237723145067448,0.0,2.4423470353692043,0.6931471805599453,0.04162167469081945,0.046406372814155834,0.08617769624105241,1.0438040521731147,1.3217558399823195,3,1,0,0,1,0
8,4.45898767581001,0.1823215567939546,3.572345637857985,0.6931471805599453,0.41871033485818504,0.07325046173959274,0.4675004990276171,0.8569652657893402,2.379546134130174,2,0,0,0,0,1
10,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,1,0,0
10,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,0,0,0,1
6,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,1,0,0,0
